short_name,skip_score,location_city,cussine_list
kabul restaurant,80,Calgary,Middle Eastern
kaffir lime indonesia grill,80,Calgary,Thai
kain der yah,83,Calgary,Filipino
kalyna,92,Calgary,Convenience
kam han szechuan house,89,Calgary,Chinese
kangnam station,72,Calgary,"Korean, Japanese"
kanikas kitchen,94,Calgary,Indian
kanpai sushi on 8th,80,Calgary,Japanese
karma fine indian cuisine,95,Calgary,Indian
katsu 17,93,Calgary,Korean
kayf cafe,80,Calgary,Indian
ke charcoal grill & sushi,98,Calgary,Japanese
kebab king,80,Calgary,"Indian, Middle Eastern"
ken's chinese restaurant,96,Calgary,Chinese
kfs bbq smokehouse,98,Calgary,African
khan baba foods & pizza house,73,Calgary,Indian
khan's kitchen,80,Calgary,Middle Eastern
kilkenny irish pub,92,Calgary,Italian
kim anh vietnamese submarines,97,Calgary,Vietnamese
kim chi house,100,Calgary,Korean
kim lan,99,Calgary,Vietnamese
kim's corn dog and chicken,93,Calgary,"Vietnamese, Korean"
kim's fried chicken,80,Calgary,Korean
kim's katsu,95,Calgary,Japanese
kims katsu and roll,93,Calgary,Japanese
kin's chinese food,88,Calgary,Chinese
king of shawarma,83,Calgary,Indian
king pizza house,95,Calgary,Italian
king's chinese food,95,Calgary,Chinese
kingfisher seafood,93,Calgary,Japanese
kings kabob,80,Calgary,Indian
kings restaurant,74,Calgary,Chinese
kingwuu,80,Calgary,Chinese
kinjo express,73,Calgary,Japanese
kinjo sushi and grill,92,Calgary,Japanese
kirin sushi dimsum & buffet,80,Calgary,Japanese
kiro sushi,70,Calgary,Japanese
kiwa restaurant,93,Calgary,"Korean, Chinese"
koji katsu,98,Calgary,Japanese
koko's restaurant and sports bar,75,Calgary,Chinese
kolachi bbq & grill,80,Calgary,Indian
kona poke,75,Calgary,Chinese
korean fried chicken,80,Calgary,Korean
kothu kadai take out & catering ltd,80,Calgary,Indian
koto sushi,82,Calgary,Japanese
koyla the charcoal,78,Calgary,Indian
krazy jerk,74,Calgary,Caribbean
kreta souvlaki,99,Calgary,Mediterranean
krunch pizza,80,Calgary,Italian
kung fu restaurant,80,Calgary,Chinese
kurry up,82,Calgary,"Indian, Middle Eastern"
kuzina,80,Calgary,Mediterranean
kwality meat shop,80,Calgary,"Chinese, Indian"
kwality meat shop restaurant,91,Calgary,Indian
l'epicerie,80,Calgary,"Korean, French"
la brezza ristorante,92,Calgary,Italian
la cantina,80,Calgary,Italian
la casa latina,92,Calgary,Mexican
la cipolla d'oro,94,Calgary,Italian
la jawab indian & hakka chinese cuisine,91,Calgary,"Chinese, Indian"
la luna rossa,80,Calgary,Italian
la trattoria,80,Calgary,"Mediterranean, Italian"
la viena,86,Calgary,Italian
lac viet vietnamese restaurant,97,Calgary,"Vietnamese, Korean"
lakeview corner cafe & sushi,80,Calgary,Japanese
las canarias,78,Calgary,Spanish
latin american empanadas ltd.,93,Calgary,"Latin American, Spanish"
latin food specialties,72,Calgary,Latin American
latin food specialties market and kitchen,93,Calgary,"Mexican, Mediterranean"
lava grill,82,Calgary,Middle Eastern
lava grill mediterranean cuisine,93,Calgary,Mediterranean
lava grill seton,96,Calgary,Middle Eastern
lazeez indian cuisine and sweets,84,Calgary,Indian
lazy monkey chinese food,96,Calgary,Chinese
ldv pizza bar,92,Calgary,Italian
le la vietnamese restaurant,87,Calgary,Vietnamese
le sizzlin',80,Calgary,Japanese
lebanhmi,76,Calgary,Vietnamese
lemon grass kitchen,90,Calgary,Thai
lemon n spice,80,Calgary,Indian
leo fu's szechwan & mandarin,95,Calgary,Chinese
let's taco bout it,80,Calgary,Mexican
lets grill restaurant calgary,93,Calgary,Chinese
levilla restaurant,93,Calgary,French
li-ao sushi,98,Calgary,Japanese
liberty lounge,80,Calgary,"Mexican, Indian, Italian"
lighthouse indian kitchen,88,Calgary,Indian
lily vietnamese submarines,99,Calgary,Vietnamese
limericks traditional public house,78,Calgary,Italian
liquor emporium,93,Calgary,Convenience
little city chinese food,95,Calgary,"Chinese, Thai"
little india,78,Calgary,Indian
little lebanon,98,Calgary,Mediterranean
little spice,89,Calgary,"Indian, Middle Eastern"
liyu restaurant,71,Calgary,Ethiopian
lolas cluck and oink,67,Calgary,Filipino
lorenzo's pizzeria & palliser diner,74,Calgary,"Mediterranean, Italian"
los chilitos taqueria,80,Calgary,Mexican
lotus deli,79,Calgary,Vietnamese
lotus fine indian cuisine,93,Calgary,Indian
lotus vietnamese noodle house,85,Calgary,Chinese
lovely sweets & restaurant,86,Calgary,Middle Eastern
lovely sweets and restaurant,82,Calgary,Indian
lovely sweets street eats,82,Calgary,Indian
lovely's sweet house,90,Calgary,Indian
lunch box deli,77,Calgary,Korean
luubann restaurant,80,Calgary,African
luxor emporium & cafe,80,Calgary,Middle Eastern
luxor emporium cafe,75,Calgary,Middle Eastern
m & n pizza & restaurant,93,Calgary,Italian
m bistro,96,Calgary,"Vietnamese, Chinese"
m palace seafood & dim sum restaurant,80,Calgary,Chinese
made foods,80,Calgary,Japanese
madison's 1212,99,Calgary,Mexican
madras cafe,90,Calgary,Indian
madrose pub royal oak,75,Calgary,"Mediterranean, Italian"
magic bowl chinese eatery,72,Calgary,Chinese
maharajah east indian restaurant,92,Calgary,Indian
mai's submarine & deli,75,Calgary,"Vietnamese, Chinese, Thai"
malabar cafe,80,Calgary,Indian
mama's butter chicken,78,Calgary,Indian
mamak dang malaysian fusion,93,Calgary,Thai
manchuwok,95,Calgary,"Chinese, Japanese"
mango shiva,86,Calgary,Indian
manna korean cuisine,93,Calgary,Korean
manohar vegetarian bakery,71,Calgary,Indian
marcello's market and deli,72,Calgary,Italian
margo's kitchen,80,Calgary,Mediterranean
marhaba restaurant,93,Calgary,Indian
marina dosa & tandoori grill,80,Calgary,Indian
marina dosa and tandoori grill,74,Calgary,"Chinese, Indian"
markato convenience store,80,Calgary,Convenience
marko's kitchen,93,Calgary,Mediterranean
masa sushi,93,Calgary,Japanese
masala art indian restaurant,88,Calgary,Indian
masala bhavan indian restaurant,91,Calgary,Indian
masala express,75,Calgary,Indian
masala hut,80,Calgary,Indian
masala mantra,80,Calgary,Indian
maurya fine east indian cuisine,80,Calgary,Indian
mazaj lounge & restaurant,75,Calgary,Mediterranean
mazaj mediterranean cuisine,80,Calgary,"Mediterranean, Indian, Middle Eastern"
mazaya,80,Calgary,"Mediterranean, Middle Eastern"
meat & eat,79,Calgary,Mediterranean
mehfil curry & kebab,72,Calgary,Indian
mehfil curry and kebab,71,Calgary,Indian
menyatai japanese noodles,94,Calgary,Japanese
mercato,82,Calgary,Italian
meshi,80,Calgary,"Korean, Japanese"
mesob restaurant and bar,80,Calgary,Ethiopian
mexico city fresh food market,81,Calgary,Mexican
mexikan korner eatery,80,Calgary,Mexican
mi noodles,80,Calgary,Chinese
mia pasta,74,Calgary,Italian
mia pasta by reef kitchens,80,Calgary,Italian
midori japanese cafe,99,Calgary,"Korean, Japanese"
migarock,84,Calgary,Korean
mighty halifax style donair,90,Calgary,Mediterranean
mighty mango chinese restaurant,98,Calgary,Chinese
mikey's on 12th,73,Calgary,Mexican
mikey's taco shop,94,Calgary,Mexican
miku sushi,95,Calgary,Japanese
mimo restaurant,82,Calgary,Mediterranean
mina's vietnamese,79,Calgary,Vietnamese
ming asian kitchen,82,Calgary,"Chinese, Thai"
ming asian kitchen - just eat,75,Calgary,"Chinese, Thai"
mint leaf indian sweets and restaurant,84,Calgary,Indian
mio pizza,99,Calgary,Italian
miraj restaurant,93,Calgary,Indian
mirchi - just eat,75,Calgary,Indian
mirchi2go,82,Calgary,Indian
misai japa café,90,Calgary,"Korean, Japanese"
misai japanese - just eat,75,Calgary,Japanese
mister chen's asian brasserie,82,Calgary,"Korean, Chinese, Japanese"
mitillinis pizza & steak house,82,Calgary,Italian
mix grill shawarma,74,Calgary,"Indian, Middle Eastern"
mj's cuisine and convenience store,80,Calgary,Indian
moe's halal street food,80,Calgary,Middle Eastern
mohave grill,72,Calgary,Mexican
mojo's pizza & donair - just eat,75,Calgary,"Italian, Middle Eastern"
momo-yama sushi japanese cuisine,98,Calgary,Japanese
momoko sushi,93,Calgary,Japanese
monsoon izakaya,99,Calgary,Japanese
monte carlo,80,Calgary,Mexican
monza pizza,99,Calgary,"Italian, Middle Eastern"
moon korean bbq,98,Calgary,Korean
moon's kitchen restaurant,80,Calgary,"Korean, Chinese, Japanese"
more than subs viet kitchen,81,Calgary,Vietnamese
moroccan tent,75,Calgary,Mediterranean
moti mahal,92,Calgary,Indian
mount everest authentic nepalese and indian cuisine,82,Calgary,Indian
mount royal pita,74,Calgary,"Indian, Middle Eastern"
mozy cafe,80,Calgary,Mediterranean
mr. guo's cafe,80,Calgary,Chinese
mr. lu japanese street food,97,Calgary,Japanese
ms. vanellis,99,Calgary,Italian
mugs pub,87,Calgary,Italian
mumbai bites,74,Calgary,Indian
mumbai bites inc,81,Calgary,Indian
mumbai bites inc.,85,Calgary,"Chinese, Indian"
munchies and smoke,85,Calgary,"Mexican, Convenience, Japanese"
my chicken & meat,92,Calgary,Korean
my donair,95,Calgary,Middle Eastern
my donair westbrook,94,Calgary,Middle Eastern
my little bistro,80,Calgary,Chinese
my little bistro venezuelan cuisine,75,Calgary,"Mexican, Caribbean, Latin American"
my party platter,80,Calgary,Indian
my vietnamese delight,80,Calgary,Vietnamese
mykonos street grill,80,Calgary,Mediterranean
mymy sub,97,Calgary,Vietnamese
naan stop grill and samosa factory,72,Calgary,Indian
nam vietnamese kitchen,65,Calgary,Vietnamese
namskar cuisine of india,95,Calgary,Indian
nan's noodle house,86,Calgary,"Vietnamese, Chinese"
nanta karaoke and bar,80,Calgary,Korean
nanum restaurant,93,Calgary,Korean
native tongues taqueria,90,Calgary,Mexican
nem delight,80,Calgary,Vietnamese
new dynasty buffet and bar,91,Calgary,Chinese
new green chilli grill,95,Calgary,Indian
new mission general store,74,Calgary,Convenience
nha trang vietnamese cuisine,97,Calgary,Vietnamese
night owl,98,Calgary,Vietnamese
niko's bistro,85,Calgary,Italian
niko's pizza,99,Calgary,Italian
nile cafe,80,Calgary,"African, Mediterranean, Middle Eastern"
nirvana,72,Calgary,Indian
nirvana restaurant,82,Calgary,"Chinese, Indian"
no.1 chinese hamburger and spring rolls,80,Calgary,Chinese
nonna's italian kitchen,80,Calgary,Italian
nonno sq pies,78,Calgary,Italian
noodle & grill house,93,Calgary,Vietnamese
noodle king,80,Calgary,Vietnamese
noodle queen,80,Calgary,"Vietnamese, Chinese"
noodle world restaurant ltd.,97,Calgary,"Vietnamese, Chinese"
noodlebox,90,Calgary,Thai
north haven convenience & grocery,93,Calgary,Convenience
not just curry,78,Calgary,Middle Eastern
nu:salmon,92,Calgary,"Korean, Japanese"
o'cup,80,Calgary,"Vietnamese, Chinese"
o-my kimbap & o-my snow,88,Calgary,Korean
oak tree tavern,75,Calgary,Italian
oakridge phoenix,100,Calgary,Chinese
ocho rios authentic caribbean cuisine,80,Calgary,Mexican
odd burger,94,Calgary,Mexican
oddball burrito -,98,Calgary,Mexican
odyssey pizza & steak house,80,Calgary,Italian
ogam: chicken & korean restaurant,97,Calgary,Korean
oishidesu ramen shack,77,Calgary,Japanese
oishii sushi,74,Calgary,Japanese
oishii sushi & bento,98,Calgary,Japanese
oj poke & grill,88,Calgary,"Korean, Latin American"
ola poke,98,Calgary,"Indian, Japanese"
olea restaurant,83,Calgary,Italian
olive chicken,96,Calgary,Chinese
olive grove midnapore,82,Calgary,Italian
olive grove pizzeria,99,Calgary,Italian
om cuisine of india,96,Calgary,Indian
omo teppan and kitchen,78,Calgary,Japanese
on the run,77,Calgary,Convenience
one stop convenience,82,Calgary,Convenience
one stop convenience and grocery store,72,Calgary,Convenience
onigirazu,80,Calgary,Japanese
ono poke co,91,Calgary,Korean
ookini ramen,77,Calgary,Japanese
op to go,80,Calgary,Vietnamese
opa!,80,Calgary,Mediterranean
oriental dumplings,80,Calgary,Chinese
oriental grill vietnamese cuisine,98,Calgary,Vietnamese
oriental palace,81,Calgary,Chinese
oriental phoenix,100,Calgary,Vietnamese
oriental wok,77,Calgary,Chinese
original sweets & catering,74,Calgary,Indian
oro azul,80,Calgary,Mexican
osaka sushi by mr.lu,93,Calgary,Japanese
osmow's,84,Calgary,"Mediterranean, Middle Eastern"
osteria chef's table,82,Calgary,Italian
otk noodle house,80,Calgary,Vietnamese
oven flames pizza,99,Calgary,Indian
pacini,83,Calgary,Italian
pad thai,96,Calgary,Thai
palace pizza & donair,80,Calgary,Indian
panago pizza,96,Calgary,"Mediterranean, Italian"
papa nikolas pizza,98,Calgary,Italian
papa shunde chinese restaurant,82,Calgary,Chinese
papito's chicken,80,Calgary,"Indian, Middle Eastern"
papito's chicken - dnu2,80,Calgary,Indian
paradise biryani yyc,80,Calgary,Indian
parm,80,Calgary,Italian
pazzi pizzeria,93,Calgary,Italian
pearl express,90,Calgary,Chinese
pebble street,92,Calgary,Chinese
peerless pearl tea shop calgary inc.,80,Calgary,Chinese
peking dragon,82,Calgary,Chinese
peking dragon restaurant,96,Calgary,Chinese
peking garden,97,Calgary,Chinese
peking house 98,80,Calgary,Chinese
peppino 17th,99,Calgary,Italian
peppino's mahogany,99,Calgary,Mediterranean
petra shawarma,91,Calgary,Mediterranean
petro-canada,84,Calgary,Convenience
pha le restaurant,76,Calgary,Vietnamese
phi nhung vietnamese pho+cuisine,97,Calgary,Vietnamese
pho 26,86,Calgary,Vietnamese
pho 501 vietnamese,96,Calgary,Vietnamese
pho 88 noodle house,86,Calgary,Vietnamese
pho anh,93,Calgary,Vietnamese
pho anh huyen noodle house,82,Calgary,"Vietnamese, Chinese"
pho binh minh,77,Calgary,Vietnamese
pho chu the,91,Calgary,Vietnamese
pho city,96,Calgary,"Vietnamese, Chinese, Korean"
pho daddy,95,Calgary,Vietnamese
pho dau bo,70,Calgary,Vietnamese
pho duy thanh,80,Calgary,Vietnamese
pho express,97,Calgary,Vietnamese
pho ha,95,Calgary,Korean
pho han vietnamese noodle house,73,Calgary,"Vietnamese, Thai"
pho hao,79,Calgary,Vietnamese
pho hoa vietnamese noodle house,92,Calgary,Vietnamese
pho hoan pasteur,82,Calgary,Vietnamese
pho hoan pasteur township,96,Calgary,Vietnamese
pho hoan restaurant,94,Calgary,Vietnamese
pho houz vietnamese kitchen,93,Calgary,Vietnamese
pho huong viet,95,Calgary,Vietnamese
pho huong viet 2nd location - pho mr. q,93,Calgary,Vietnamese
pho kim,82,Calgary,Vietnamese
pho kim restaurant,99,Calgary,"Korean, Chinese"
pho li vietnamese cuisine,80,Calgary,Vietnamese
pho lyn,80,Calgary,Vietnamese
pho mai thy,97,Calgary,Vietnamese
pho master,80,Calgary,Vietnamese
pho nam vietnamese cuisine,92,Calgary,Vietnamese
pho pham,89,Calgary,Vietnamese
pho phu huong,82,Calgary,Vietnamese
pho phuong vi noodle house,82,Calgary,Vietnamese
pho phuong vietnamese cuisine,83,Calgary,Vietnamese
pho rang dong,92,Calgary,Vietnamese
pho sate,95,Calgary,Vietnamese
pho so 1,80,Calgary,Vietnamese
pho thanh nga,94,Calgary,Vietnamese
pho thanh vietnamese noodle house,87,Calgary,Vietnamese
pho time,96,Calgary,"Korean, Chinese, Vietnamese, Thai"
pho tina vietnamese restaurant,85,Calgary,Thai
pho uncle ten,93,Calgary,Vietnamese
pho v vietnamese cuisine,73,Calgary,Vietnamese
pho van,97,Calgary,Vietnamese
pho vietnamese noodle soup,76,Calgary,Vietnamese
pho vietnamese village,99,Calgary,Vietnamese
pho vy,80,Calgary,Vietnamese
pho x.o,97,Calgary,Vietnamese
pho xinh xinh,80,Calgary,Vietnamese
pho yyc,94,Calgary,Vietnamese
phoenix grill,75,Calgary,Italian
phoenix kitchen,90,Calgary,Chinese
phu quy restaurant,83,Calgary,Vietnamese
pink pearl chinese restaurant,99,Calgary,Chinese
pita corner,82,Calgary,Middle Eastern
pita grill,98,Calgary,"Mediterranean, Middle Eastern"
pita stop,72,Calgary,Mediterranean
pizza & tandoori flavours,80,Calgary,Indian
pizza 22 & ribs,81,Calgary,Italian
pizza 36,80,Calgary,"Mediterranean, Indian"
pizza bank,98,Calgary,Italian
pizza bob's,80,Calgary,Italian
pizza box,84,Calgary,Italian
pizza culture,88,Calgary,Italian
pizza depot & shawarma depot,93,Calgary,Middle Eastern
pizza on the fly,75,Calgary,Italian
pizzeria all?angolo,80,Calgary,Italian
pizzorama,72,Calgary,Italian
plaka greek taverna,68,Calgary,Mediterranean
plato restaurant,80,Calgary,"Mediterranean, Italian"
platterz,80,Calgary,Indian
pocket holic,97,Calgary,Japanese
point sushi - bullet train sushi bar,99,Calgary,Japanese
ponshu,86,Calgary,Japanese
pop'n pizza,72,Calgary,Indian
popular pizza,83,Calgary,Italian
pow pizza brentwood,82,Calgary,Italian
pow pizza renfrew,78,Calgary,Italian
prairie donair,97,Calgary,Middle Eastern
prairie donair west calgary,98,Calgary,Middle Eastern
pranzo italiano,80,Calgary,Italian
presto pizza,94,Calgary,Italian
prestopie pizzeria,99,Calgary,Italian
primo yyc pizza & pasta,100,Calgary,Italian
pudina indian restaurant,93,Calgary,Indian
pulcinella,86,Calgary,Italian
pulcinella americano,80,Calgary,Italian
punjaabi indian cuisine,84,Calgary,Indian
punjabi chaap corner,82,Calgary,Indian
punjabi chulha,88,Calgary,Indian
punjabi chulha restaurant & sweets redstone skyview,93,Calgary,Indian
punjabi dhaba restaurant & sweets,74,Calgary,Indian
punjabi spice kitchen,100,Calgary,Indian
punjabi sweet house & restaurant,90,Calgary,Indian
pure casino calgary,75,Calgary,Italian
pure contemporary vietnamese kitchen + bar,69,Calgary,Vietnamese
pure street food,86,Calgary,Vietnamese
puspa,75,Calgary,Indian
puspa restaurant,94,Calgary,Indian
pza parlour,92,Calgary,Italian
q.kitchen food inc.,72,Calgary,Indian
qila organic restaurant,74,Calgary,Indian
quechivo salvadoran street food,100,Calgary,Mexican
quesada burritos & tacos,91,Calgary,Mexican
quesada burritos & tacos - just eat,75,Calgary,Mexican
quynh vietnamese cuisine,99,Calgary,Vietnamese
raj palace,99,Calgary,Indian
raj palace restaurant,91,Calgary,Indian
raja foods,81,Calgary,Indian
raja foods east indian & pakistani restaurant,80,Calgary,"Indian, Middle Eastern"
raja foods marlborough,84,Calgary,"Indian, Middle Eastern"
raja's grill,82,Calgary,Indian
rajbhog,80,Calgary,"Chinese, Indian"
rajdoot restaurant,85,Calgary,Indian
rajdoot restaurant - just eat,75,Calgary,Indian
rajput catering and restaurant,76,Calgary,"Indian, Middle Eastern"
ramadan catering & take out restaurant,93,Calgary,"Indian, Middle Eastern"
rasoi,80,Calgary,"Chinese, Indian"
rasoi east indian hakka cuisine,71,Calgary,Indian
rasoi east indian restaurant,94,Calgary,Indian
rau bistro,80,Calgary,Vietnamese
rau bistro: vietnamese street food,88,Calgary,Vietnamese
raw bar,75,Calgary,"Vietnamese, Korean"
rea's italian cucina,85,Calgary,Italian
red ember japanese cuisine,72,Calgary,Japanese
red olive bistro & catering,80,Calgary,Italian
red rock pizza express,96,Calgary,Italian
red sea convenience store and halal meat,72,Calgary,Convenience
red swan pizza,90,Calgary,Italian
regency palace,87,Calgary,Chinese
renaissance on 11th,82,Calgary,Italian
rendezvous,100,Calgary,Korean
restaurant at the lougheed house,80,Calgary,French
ric's lounge & grill,72,Calgary,Mediterranean
ricardo's latín corner restaurant,80,Calgary,Mexican
rice for king,91,Calgary,Vietnamese
rice table korean kitchen,82,Calgary,Korean
ricky ticky tacos,93,Calgary,Mexican
rio pizza,100,Calgary,Italian
ripe tomato pizza,75,Calgary,Italian
ripe tomato pizza bar,93,Calgary,Italian
ripe tomato pizza marda loop,96,Calgary,"Mediterranean, Italian"
ritage restaurant,72,Calgary,Middle Eastern
rocky's italian,91,Calgary,Italian
roku japanese restaurant,75,Calgary,Japanese
roma italian restaurant,80,Calgary,"Mediterranean, Italian"
romano's pizzeria,72,Calgary,Italian
rose garden thai restaurant,95,Calgary,Thai
roti hut,89,Calgary,Indian
roy's korean kitchen,81,Calgary,Korean
royal bites indian cuisine,98,Calgary,Indian
royal canadian pizza,99,Calgary,Middle Eastern
royal ganesha,80,Calgary,Indian
royal ganesha - lunch,80,Calgary,Indian
royal india,97,Calgary,Indian
royal mango shivaa,84,Calgary,"Chinese, Indian, Middle Eastern"
royal paan,93,Calgary,Indian
royal pizza,98,Calgary,Italian
royal pizza signal hill,91,Calgary,Italian
royale,79,Calgary,"Mediterranean, French"
ruby queen restaurant,67,Calgary,Chinese
ruby thai kitchen,75,Calgary,Thai
ryuko - japanese kitchen + bar,81,Calgary,Japanese
saaj grill,72,Calgary,Middle Eastern
saap thai kitchen,98,Calgary,Thai
sabores,97,Calgary,Mexican
safa shawarma,80,Calgary,Middle Eastern
safari grill,86,Calgary,African
saffron,79,Calgary,Indian
saffron bistro,97,Calgary,Indian
saffron kitchen and bakery,93,Calgary,Middle Eastern
saffron mantra,80,Calgary,"Indian, French"
sahana's sri lankan and south indian fusion,80,Calgary,Indian
sahara pizza,100,Calgary,Italian
saigon baguette,80,Calgary,Vietnamese
saigon corner restaurant,80,Calgary,Vietnamese
saigon deli,96,Calgary,Vietnamese
saigon gourmet restaurant,80,Calgary,Vietnamese
saigon maxim,86,Calgary,Vietnamese
saigon night,98,Calgary,Thai
saigon noodle world,80,Calgary,Vietnamese
saigon pearl,91,Calgary,Vietnamese
saigon red sky vietnamese restaurant,95,Calgary,Vietnamese
saigon rex,97,Calgary,Chinese
saigon south,72,Calgary,Vietnamese
saigon star ultimate sub and vietnamese cuisine,93,Calgary,Vietnamese
saigon star vietnamese cuisine,80,Calgary,Vietnamese
saigon thai restaurant,80,Calgary,Thai
saigon west asian kitchen,80,Calgary,Chinese
saj bakery,80,Calgary,Mediterranean
salsita mexican food corp.,93,Calgary,Mexican
salt and pepper mexican restaurant,67,Calgary,Mexican
saman restaurant & bakery,75,Calgary,Middle Eastern
sammy's sports bar,80,Calgary,"Korean, Chinese"
samosa garden express,80,Calgary,Indian
samosa house & tiffin,77,Calgary,Indian
samosa junction,90,Calgary,Indian
samurai ramen & sushi,99,Calgary,Japanese
satay house,80,Calgary,Vietnamese
saveg cafe,90,Calgary,Korean
savino pizzeria,91,Calgary,Italian
savoy's south indian kitchen,98,Calgary,"Indian, Middle Eastern"
sawa market & cafe,80,Calgary,"Mediterranean, Italian, Middle Eastern"
scarpetta italian eatery,80,Calgary,Italian
scarpetta pizzeria,84,Calgary,Italian
schanks sports grill,85,Calgary,Mexican
seanachie irish pub,86,Calgary,Italian
secret cafe vietnamese sub,89,Calgary,Vietnamese
sector 17,83,Calgary,Indian
sedar grove - dnu,80,Calgary,Italian
sedar grove - just eat,75,Calgary,Italian
sen vietnamese kitchen,90,Calgary,"Vietnamese, Chinese"
seoul korean bbq,96,Calgary,"Korean, Chinese"
sesame,97,Calgary,Chinese
shahi flavours,93,Calgary,Indian
shahi masala paan,80,Calgary,Indian
shalimar paan and chatkhara house,87,Calgary,Indian
shanghai classic restaurant,82,Calgary,Chinese
shangri-la palace,80,Calgary,"Chinese, Indian"
sharma sweets restaurant,73,Calgary,Indian
shawarma and falafel city,95,Calgary,"Mediterranean, Middle Eastern"
shawarma and kebob house,93,Calgary,Middle Eastern
shawarma ave,95,Calgary,Middle Eastern
shawarma barlow,91,Calgary,Middle Eastern
shawarma corner,98,Calgary,Mediterranean
shawarma empire,80,Calgary,"Indian, Middle Eastern"
shawarma grill and meat shop,78,Calgary,Middle Eastern
shawarma house,90,Calgary,Middle Eastern
shawarma king,67,Calgary,Mediterranean
shawarma knight,75,Calgary,"Mediterranean, Middle Eastern"
shawarma passion by shawarma palace,89,Calgary,Mexican
shawarma pizza zone,72,Calgary,Middle Eastern
shawarma station,80,Calgary,"Mediterranean, Middle Eastern"
shawarma station - just eat,75,Calgary,"Mediterranean, Middle Eastern"
shawarmoes sandwiches & cocktails,80,Calgary,Middle Eastern
shawdesi bazaar foods & catering,91,Calgary,Indian
shawnessy pizza & butter chicken house,80,Calgary,Indian
shawnessy vietnamese restaurant,98,Calgary,Vietnamese
shell,74,Calgary,Convenience
shem's,80,Calgary,Mediterranean
shibuya izakaya,97,Calgary,Japanese
shigatsu fusion japanese lounge,80,Calgary,Japanese
shijo sushi,80,Calgary,"Chinese, Japanese"
shiki menya,90,Calgary,Japanese
sho sushi bar & kitchen,88,Calgary,Japanese
shogun grill,75,Calgary,Thai
shokudo restaurant and lounge,80,Calgary,Japanese
shokunin,90,Calgary,Japanese
si foods - supreme dosa,84,Calgary,Indian
sichani's mediterranean,80,Calgary,Mediterranean
side street pub & grill,95,Calgary,Indian
side street pub & grill - just eat,75,Calgary,Indian
silina's mediterranean,75,Calgary,Mediterranean
silver city,99,Calgary,Chinese
simmer hong,93,Calgary,Chinese
simply irie caribbean cuisine,94,Calgary,Caribbean
sinbad shawarma,75,Calgary,Indian
singapore sam's,96,Calgary,Chinese
singapore sam's late night,80,Calgary,Chinese
singapore sam's vegetarian & gluten-free,90,Calgary,Chinese
singh's tiffin,80,Calgary,Indian
siomai queen,100,Calgary,Filipino
sizzlin' suteki,80,Calgary,Japanese
sizzling grill,76,Calgary,Indian
skip express lane,95,Calgary,Convenience
skylark restaurant,85,Calgary,Indian
smooth curry thai cuisine,80,Calgary,Thai
snow fairy,80,Calgary,Korean
snow palace,95,Calgary,Chinese
soban korean bbq,87,Calgary,Korean
sole restaurant,80,Calgary,Korean
soluxe restaurant,80,Calgary,Chinese
something more,96,Calgary,"Vietnamese, Chinese"
song viet,80,Calgary,Vietnamese
sophie's pizza,98,Calgary,Italian
soul cooking,80,Calgary,Indian
south indian food junction,80,Calgary,Indian
southview vietnamese village,93,Calgary,Vietnamese
spaghetti cafe prairie,80,Calgary,Italian
spice 7,80,Calgary,Indian
spice cafe & lounge,80,Calgary,"Indian, Thai"
spice hut,97,Calgary,Indian
spices east indian take-out,80,Calgary,Indian
spicy amigos,81,Calgary,"Mexican, Latin American"
spicy chef,97,Calgary,Indian
spicy delights,80,Calgary,Indian
spicy root restaurant,78,Calgary,Indian
spolumbo's cafe,99,Calgary,Italian
spolumbo's fine foods,95,Calgary,Italian
spring roll chalet,93,Calgary,Vietnamese
spring vietnamese cuisine,100,Calgary,Vietnamese
ss106 aperitivo bar,72,Calgary,Italian
sso yummy,100,Calgary,Korean
ssome,93,Calgary,Korean
stonebowl korean cuisine,80,Calgary,Korean
streats braeside kitchen,92,Calgary,"Mexican, Latin American"
streats legacy,88,Calgary,"Mexican, Latin American"
streets of mumbai - indian street food & grill,80,Calgary,Indian
subs n more,93,Calgary,Mediterranean
subsnbubbles,88,Calgary,"Korean, Vietnamese"
sucre patisserie and cafe,81,Calgary,French
sukhi da dhaba,75,Calgary,Indian
sumo grill japanese restaurant,75,Calgary,Japanese
sumo lounge,76,Calgary,Japanese
sun's bbq restaurant,91,Calgary,Chinese
sunpark cafe,80,Calgary,"Mediterranean, Middle Eastern"
sunshine vietnamese,82,Calgary,"Vietnamese, Chinese"
super pizza,80,Calgary,Indian
surahi restaurant,94,Calgary,Indian
surya,76,Calgary,Indian
surya rundlehorn restaurant and sweets,72,Calgary,Indian
sushi & co.,91,Calgary,"Chinese, Japanese"
sushi & kitchen,92,Calgary,"Thai, Japanese"
sushi 2 you,80,Calgary,Japanese
sushi ai,95,Calgary,Japanese
sushi bar zipang,86,Calgary,Japanese
sushi bbq inn,95,Calgary,Japanese
sushi bistro anzu,98,Calgary,Japanese
sushi boat,84,Calgary,Japanese
sushi center,82,Calgary,Japanese
sushi ichiban,80,Calgary,Japanese
sushi ichiban - just eat,75,Calgary,Japanese
sushi ichiban westbrook,97,Calgary,Japanese
sushi kawa japanese restaurant,82,Calgary,Japanese
sushi kimu,96,Calgary,Japanese
sushi mori japanese bistro,80,Calgary,Japanese
