short_name,number_of_orders,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
jianghu asian food,10,0.0,0.0,0.0,0.0,0.11475409836065574,0.0,0.0,0.0,0.0,0.0,0.0,0.08196721311475409,0.4262295081967213,0.0,0.0,0.0,0.0,0.14754098360655737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08196721311475409,0.01639344262295082,0.06557377049180328,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jimmy the greek,5,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jimmy the greek (crossiron mills),94,0.0,0.0,0.010273972602739725,0.04452054794520548,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.2945205479452055,0.0,0.0,0.0,0.0,0.0,0.1815068493150685,0.0,0.0,0.0,0.003424657534246575,0.0,0.0,0.0,0.17123287671232876,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.2054794520547945,0.0,0.02054794520547945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547945205479452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jimmy's a&a mediterranean deli,1122,0.0,0.0,0.0,0.0,0.16303234304112396,0.0007317430118542368,0.0,0.0,0.0,0.0,0.0002926972047416947,0.11020049758524807,0.0,0.027806234450460997,0.0,0.0,0.0,0.0011707888189667788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040684911459095564,0.0,0.06322259622420606,0.0,0.0,0.0,0.0,0.0,0.0,0.21981560076101272,0.0,0.3723108444314357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007317430118542368,0.0
jin bar,112,0.0,0.0,0.0024390243902439024,0.0024390243902439024,0.03170731707317073,0.0,0.0,0.0,0.0,0.046341463414634146,0.0,0.45365853658536587,0.0,0.004878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.06829268292682927,0.0,0.0,0.0,0.0,0.06341463414634146,0.0,0.0,0.0,0.0,0.036585365853658534,0.0,0.0,0.0,0.0,0.0024390243902439024,0.0,0.0,0.0,0.06097560975609756,0.03170731707317073,0.05853658536585366,0.01707317073170732,0.007317073170731708,0.041463414634146344,0.0,0.0,0.0,0.0,0.0,0.06097560975609756,0.0,0.0,0.00975609756097561
jinbar,188,0.0,0.0,0.014448669201520912,0.0,0.03802281368821293,0.0,0.0,0.0,0.0,0.0,0.0,0.19543726235741446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03650190114068441,0.0,0.0,0.0,0.0,0.029657794676806085,0.0,0.0,0.0,0.0,0.552851711026616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007604562737642585,0.0007604562737642585,0.01749049429657795,0.029657794676806085,0.006083650190114068,0.014448669201520912,0.0,0.012167300380228136,0.0,0.0,0.0,0.0,0.05171102661596958,0.0,0.0,0.0
jinya ramen bar,3550,0.0,0.0,0.039777983348751156,0.0,0.0,0.00046253469010175765,0.0,0.0,0.0,0.0,0.0,0.11008325624421832,0.05973305140742698,0.0027752081406105457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00786308973172988,0.0,0.0,0.0,0.565547773225849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019822915290075327,0.0,0.0,0.0,0.042288885952160696,0.0,0.016849477996564027,0.0007929166116030131,0.04129774018765693,0.001519756838905775,0.0,0.0,0.0,0.016651248843663275,0.0,0.0941588476278578,0.0
jj's neighbourhood pub,67,0.0,0.0,0.0,0.0,0.007518796992481203,0.007518796992481203,0.0,0.03007518796992481,0.0,0.015037593984962405,0.0,0.03759398496240601,0.0,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.015037593984962405,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.48872180451127817,0.0,0.0,0.0,0.0,0.0,0.045112781954887216,0.015037593984962405,0.011278195488721804,0.0,0.0,0.11654135338345864,0.0,0.03383458646616541,0.045112781954887216,0.0,0.015037593984962405,0.0037593984962406013,0.0037593984962406013,0.0,0.011278195488721804,0.0,0.0,0.0,0.007518796992481203,0.0
jjan asia izakaya,7,0.0,0.0,0.0,0.0,0.16,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.16,0.0,0.0,0.04,0.0
joey's fish shack,614,0.0,0.0,0.09216101694915255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019067796610169493,0.0,0.0,0.0,0.015889830508474576,0.0,0.05826271186440678,0.0,0.0,0.04449152542372881,0.0,0.0,0.0,0.0,0.037076271186440676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014830508474576272,0.0,0.0,0.012711864406779662,0.0,0.0,0.0,0.023305084745762712,0.00211864406779661,0.059322033898305086,0.5307203389830508,0.0,0.0,0.0,0.0,0.09004237288135593,0.0,0.0,0.0
