short_name,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
brothers kitchen,0.0,0.0,0.0,0.0,0.0701754385964912,0.0,0.0,0.0,0.0,0.0175438596491228,0.0,0.087719298245614,0.0,0.2631578947368421,0.0,0.0,0.2105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087719298245614,0.0,0.0350877192982456,0.0701754385964912,0.0,0.0,0.0,0.0350877192982456,0.0,0.0,0.0,0.0,0.0175438596491228,0.0,0.0,0.0,0.0,0.0,0.0701754385964912,0.0,0.0350877192982456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
browns socialhouse,0.0,0.03905045541984376,0.014162514195656702,0.005581616334855256,0.013301040628548897,0.02374533571279578,0.0,0.07947505040906667,0.016526757364359036,0.00038565833082253694,0.0,0.2528453890189353,0.005252508865042751,0.0,0.0,0.040246830602359375,0.0,0.00043386562217535406,0.0,0.0206285489141771,0.034063781954712956,0.0,0.0,0.0,0.0,0.10346999791410758,0.0,0.004426727234801938,0.0013015968665260622,0.014103877442232356,0.0015426333232901478,0.0,0.0,0.0,0.0,0.04236377963705471,0.0,0.016377963705471975,0.0,0.004194034347695089,0.0,0.013173337659628694,0.027228776044684436,0.03514543305444179,0.05904141655271512,0.05942498899112336,0.023175191786219188,0.0,0.0,0.0007692307692307598,0.02356919368669894,0.012720467239900796,0.012272000370825306,0.0
bsw liquor,0.0,0.7588084507849553,0.003144994351113653,0.001572497175556797,0.0,0.0,0.0,0.0,0.003144994351113653,0.1522963310260136,0.001572497175556797,0.0,0.0,0.05256070787965411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003144994351113653,0.0,0.0,0.0,0.003144994351113653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020609538553808548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bubble town inc,0.0,0.0,0.0,0.0,0.0,0.0123456790123456,0.1728395061728395,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.3086419753086419,0.0,0.1111111111111111,0.0,0.0123456790123456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3209876543209876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123456790123456,0.0,0.0,0.0,0.0123456790123456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bubble waffle cafe,0.0,0.0,0.0,0.0,0.0372670807453416,0.0,0.0,0.0,0.0,0.0,0.0,0.0993788819875776,0.0,0.0,0.0,0.0,0.0,0.2546583850931677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0372670807453416,0.0,0.0372670807453416,0.0,0.0,0.0,0.0,0.0248447204968944,0.0,0.0,0.0,0.0,0.1987577639751552,0.0,0.0,0.0,0.0248447204968944,0.0,0.0683229813664596,0.0,0.0683229813664596,0.1490683229813664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buddy's liquor,0.0,0.7950233895017649,0.0,0.0,0.0021717964647024186,0.0,0.0,0.0,0.004343592929404837,0.03700331418156187,0.0,0.0,0.0,0.11142381395278937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021717964647024186,0.02180073892864494,0.0,0.0021717964647024186,0.0,0.0,0.0,0.0,0.010858982323512095,0.0,0.0,0.0,0.0,0.0,0.013030778788214513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buffalo bob's,0.0,0.00279207894736842,0.03729111909009812,0.017000996877787687,0.04121473996431757,0.0433459482604817,0.0,0.06929935370205173,0.0,0.01531408474576271,0.0,0.24319542105263153,0.0,0.018603210080285457,0.0,0.020538645405887596,0.0,0.0,0.0,0.0,0.03463648929527208,0.0,0.0,0.0,0.0,0.04046917038358608,0.00279207894736842,0.0,0.00279207894736842,0.0,0.0,0.0,0.0,0.0,0.00558415789473684,0.02175488626226583,0.0,0.0,0.0418811842105263,0.0,0.0,0.045804805084745756,0.16502278412132024,0.00279207894736842,0.09191088358608385,0.0,0.01116831578947368,0.0,0.018603210080285457,0.0,0.0,0.0,0.0061922783229259575,0.0
buffalo wild wings,0.0,0.021124730450573143,0.026988991033934845,0.06715128816252411,0.0,0.0,0.0,0.039801384632845306,0.0,0.022013392350470985,0.00039950062421972534,0.1376835773464987,0.0,0.0,0.0,0.019716263761207563,0.0,0.033209624333219834,0.0,0.06585291113380999,0.07947679037566677,0.0,0.0,0.0,0.0,0.020924980138463282,0.0,0.0,0.0009090909090908999,0.0,0.0,0.0,0.0,0.0,0.000299625468164794,0.04115083418454204,0.0,0.0,0.024545454545454534,0.0020179321302916625,0.0,0.011557144478492789,0.30366587220519803,0.0,0.07100329134036999,0.0,0.0,0.0,0.0,0.0,0.010507320394960827,0.0,0.0,0.0
buffalo's world famous wings and chicken,0.0,0.0,0.04061971542554239,0.14955746427066471,0.0,0.016196405997093596,0.0,0.008649236185772837,0.0,0.050816822422545406,0.0,0.21174009443807768,0.0,0.0,0.0,0.002916474679331911,0.0,0.12926391071309018,0.0,0.0,0.06281683817535236,0.0,0.0,0.0,0.0,0.021673656974752174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012578616352201197,0.0,0.0,0.0012578616352201197,0.0,0.0,0.008126242994923646,0.2233292769855429,0.0,0.06564462455153726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006133512915332596,0.0
buffet yangtze,0.0,0.0,0.008260347826086954,0.009323952290633195,0.06452860201342281,0.02112911502772103,0.0,0.0,0.024010918470965852,0.0,0.0,0.08229766813539538,0.4841749767143274,0.0031131609279252894,0.0,0.0,0.0,0.009924841785818497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05161324333236064,0.0,0.0,0.0,0.0010325434782608597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047113537408812335,0.008260347826086954,0.0,0.0,0.02302496647213305,0.012668470703238954,0.07117104735920629,0.0,0.05471087376714326,0.019511212547417545,0.0,0.0,0.0,0.0,0.0,0.004130173913043477,0.0
buffo ristorante,0.0,0.209090909090909,0.0181818181818181,0.009090909090909,0.0545454545454545,0.1,0.0,0.009090909090909,0.0,0.0,0.0,0.0272727272727272,0.0,0.0818181818181818,0.0,0.0181818181818181,0.0,0.0,0.0,0.0,0.009090909090909,0.0,0.0,0.0,0.0,0.1272727272727272,0.0181818181818181,0.0,0.1454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0363636363636363,0.0,0.0,0.009090909090909,0.0181818181818181,0.0,0.0,0.009090909090909,0.0,0.0,0.0,0.0,0.0
bull and finch,0.0,0.0007194244604316398,0.04281677910853777,0.02951777192107698,0.03534304098446843,0.024062560418426207,0.0,0.06572710714031318,0.0,0.04618359060983179,0.0,0.07607854310610918,0.0003771805752003772,0.0558156021151961,0.0,0.01909646257534282,0.0,0.0,0.0,0.008982460424870845,0.0211149891967614,0.01237708560167424,0.0,0.0,0.0,0.03544785105437573,0.0,0.0,0.04453512154915388,0.0,0.0,0.0,0.0,0.0,0.040553695657335506,0.05708689060067363,0.005413151798221956,0.0,0.019424460431654657,0.039694524437027465,0.0,0.022036910782547922,0.14225270420156094,0.0,0.04189485752275124,0.05471899707956406,0.001096605035632017,0.0,0.05098212801752939,0.0,0.0,0.0,0.0066495035937303715,0.0
bully sandwiches,0.0,0.0037174721189591,0.1598513011152416,0.0223048327137546,0.0074349442379182,0.0334572490706319,0.0,0.0074349442379182,0.0223048327137546,0.0966542750929368,0.0,0.0223048327137546,0.0,0.0483271375464684,0.0,0.2565055762081784,0.0,0.0037174721189591,0.0,0.0074349442379182,0.0446096654275092,0.0,0.0,0.0,0.0,0.070631970260223,0.0185873605947955,0.0111524163568773,0.0037174721189591,0.0,0.0,0.0,0.0,0.0,0.0148698884758364,0.0185873605947955,0.0074349442379182,0.0,0.0,0.0,0.0,0.0297397769516728,0.0223048327137546,0.0,0.0260223048327137,0.0,0.0,0.0074349442379182,0.0185873605947955,0.0,0.0,0.0,0.0148698884758364,0.0
bun + burger,0.0,0.0151515151515151,0.0606060606060606,0.0757575757575757,0.0606060606060606,0.0303030303030303,0.0,0.2424242424242424,0.0,0.0,0.0,0.0454545454545454,0.0,0.0151515151515151,0.0,0.0151515151515151,0.0,0.1212121212121212,0.0,0.0,0.1515151515151515,0.0,0.0,0.0,0.0,0.0151515151515151,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0606060606060606,0.0151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151515151515151,0.0
