,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
Caribbean,0.39215772293118384,0.3903271607995808,0.4006548818638195,0.397424566156948,0.4156397863631192,0.39722088457667587,0.3925661804259848,0.40702897674168076,0.3922547279700215,0.3923253289481608,0.9986051123227143,0.4361765007118284,0.396469041171376,0.39803281412363417,0.40545432264524695,0.3932998818931667,0.3901172029976378,0.41000670693495284,0.387737567331739,0.39134513295400297,0.39276773310565777,0.38735023026351945,0.38767668814503253,0.3909326647216351,0.38729740097439436,0.4062185728952017,0.39361145275998627,0.3962960609701904,0.3961999119447688,0.39516239077337245,0.40022066082142005,0.3873094615518512,0.39532341472134586,0.3895048956464631,0.39299342174298507,0.3995856043262908,0.39383694968868865,0.3978619203132839,0.39165690311377604,0.39510023893931556,0.38881642244993775,0.39623156950813154,0.4016374348675763,0.4007148321308705,0.4025741143028944,0.4049119722350507,0.3990910533714293,0.39184306368224114,0.3935829180784812,0.3906653613113748,0.39173924378701847,0.394967930173256,0.3937351307202329,0.39720551672146726
Chicken,0.4175047856193567,0.43918725462695496,0.761813238386216,0.7820672844777579,0.7597916137177692,0.6215719552623848,0.4910364253533622,0.8371671724414378,0.5367847900767366,0.5908866249088004,0.4361765007118284,0.9986051123227143,0.7136531756928698,0.6684782252619916,0.5069256067558101,0.6518257562934301,0.40508631038646725,0.8720625145209533,0.40651145582057563,0.5499358174684331,0.7654147085153336,0.41854456124412187,0.40098338903667247,0.4118111250973542,0.3899773086814934,0.7082808367835592,0.5312990943622813,0.7140267685867863,0.631166641975128,0.6955880657273564,0.6254066498016019,0.404228441431981,0.5165567659000567,0.4275906915493038,0.5803394966063186,0.5655828780440882,0.6845409473426112,0.6873276202619759,0.44912091087546424,0.5997205607838619,0.5020914583445475,0.7067827954641321,0.7035299525504174,0.7396081703701514,0.8581257914351946,0.6612022307172715,0.6110252998422085,0.42288531382521644,0.5270177884933402,0.4736507614886639,0.5250576522440404,0.5889262169702472,0.5222039258953872,0.6785953011478044
Chinese,0.39865514918073874,0.41131288488225615,0.5872062796016443,0.5885431384602483,0.7827338449615259,0.5234066971399559,0.5127925989296525,0.5029630055414477,0.49891229043910956,0.4459487358634312,0.396469041171376,0.7136531756928698,0.9986051123227143,0.5670014505978956,0.44108598305347196,0.4735244746901821,0.3965520492158615,0.5587363372867846,0.39523100442920234,0.44759002512926227,0.4932578693381254,0.39222601679512975,0.3963511069804088,0.3904660001052362,0.38986938675885785,0.6475011030673415,0.4373394658734549,0.5034927937997757,0.496304801526516,0.6146426030128792,0.5141438653694255,0.3895146605328581,0.43261193194269804,0.40925280059113756,0.4619496332268418,0.4503196079106658,0.46505518657332495,0.7393586808056785,0.42220491465582255,0.4727015034719408,0.41106942875197483,0.6620121269215931,0.4893277051328775,0.8463978214444633,0.5067740602828512,0.6752692433688752,0.7476502151239603,0.4032639205030398,0.44893016317814743,0.46781912676138504,0.4321773456527857,0.5847937880043671,0.4933728950385452,0.6406460291976259
Coffee/Tea,0.40498794472536553,0.42485782230828517,0.6911974468776453,0.5465895623399534,0.6085686291187111,0.6532303081077946,0.8001967026218341,0.5586106029943263,0.49754882350389984,0.46742446071400223,0.39803281412363417,0.6684782252619916,0.5670014505978956,0.9986051123227143,0.48347088750119793,0.5720714541281153,0.4008040250475238,0.6199778917179283,0.41009086797221794,0.5425219730546601,0.5246080602832989,0.4247672676780316,0.3993718118617737,0.39925453935473065,0.3887981207322363,0.5995559186531826,0.540271049677735,0.51030760686885,0.48919980558228365,0.5918629799285703,0.4682733581576731,0.392924202422523,0.46832914443490625,0.42339133344318797,0.5491418420213038,0.48048284417610765,0.5598076044964371,0.5280509159411794,0.42041644095331426,0.4710386358994546,0.4250282632350616,0.5740504253465537,0.4995278439902551,0.5886356545606021,0.654513746919883,0.547772950663723,0.5136569485780051,0.4127459121125489,0.8665502036311629,0.5112435527050256,0.44195430785081674,0.482397397775113,0.4669731937037077,0.5846967576067715
Convenience,0.3939194464058198,0.4183052241340136,0.5134224835689022,0.44564082507002334,0.47210009358749616,0.48475387151815374,0.4218899764580339,0.4994242683050884,0.456962765074952,0.43912062131437035,0.40545432264524695,0.5069256067558101,0.44108598305347196,0.48347088750119793,0.9986051123227143,0.5612933916393456,0.3896455348377568,0.5278128898066518,0.38948242159709956,0.4236005009432801,0.45922280021796774,0.38875308961810573,0.39910131806564436,0.3904161377821441,0.38807733581785153,0.5081126811824422,0.45822761796625966,0.42550932002336944,0.44162410227672827,0.44206417831790046,0.41423726431614843,0.3881890864555103,0.3979251005817122,0.40482188887158793,0.4263859697760012,0.484511277057038,0.42752579124021667,0.44820892113833466,0.45754156764497655,0.4480514811579979,0.4177164634390828,0.4700272727448113,0.4769170655695925,0.4379265429493549,0.4954048408757967,0.4339670073827551,0.43911842421341646,0.39954014634091206,0.42525121576998703,0.40375637804212644,0.4138942368522869,0.40863146510511056,0.41833925386358733,0.439374365052941
Desserts,0.39678701652676723,0.4164746724919384,0.7557681225077391,0.5194044951583338,0.5063894143556281,0.5600323416832728,0.45470471894091674,0.6586696427326711,0.6088720825298483,0.5028185587955779,0.3932998818931667,0.6518257562934301,0.4735244746901821,0.5720714541281153,0.5612933916393456,0.9986051123227143,0.39368382508364097,0.642353348434782,0.3932482768637783,0.5374742448391409,0.6139334360626846,0.3897129788415235,0.3937721600826487,0.3993655025624746,0.3978698644285881,0.5364807871184474,0.4827381748800585,0.45626993107328606,0.5159532558861016,0.4928295452457916,0.4258932032709487,0.3928368894105447,0.40851946179267234,0.40900843178063667,0.46950466655136674,0.47947235611642414,0.45508530636620853,0.4663108131656371,0.43424272249280665,0.48573976099163585,0.43301312399258723,0.562792020973185,0.49153022859700224,0.4695462479968837,0.6131484630866864,0.49232030159908496,0.4560119913458555,0.41937655854698674,0.4696537478041625,0.42350935120108735,0.43406584762668876,0.4340884817618442,0.447206475677864,0.46973386187735533
Ethiopian,0.7803965478804765,0.40426586890093275,0.39680848961069093,0.39200745078603383,0.4093273007263128,0.3989850110113046,0.38805351158124995,0.4031634039282988,0.40915467280174145,0.38956752430790653,0.3901172029976378,0.40508631038646725,0.3965520492158615,0.4008040250475238,0.3896455348377568,0.39368382508364097,0.9986051123227143,0.40456627415679197,0.3874033851468434,0.38812484095590316,0.3993136419025585,0.38726708330095017,0.387347442678104,0.3907620355923987,0.38737710949906895,0.4015157533330736,0.3880741571140375,0.3995430259569172,0.3927222835253259,0.3961098711007024,0.3929849443195425,0.38726708330095017,0.4135746969041351,0.3875141547094253,0.3938048578288279,0.391314775012145,0.3968426253340156,0.3947292179609221,0.3889241395874995,0.39227717276540136,0.3910656817722772,0.3892409886731058,0.3930571977506228,0.40006486178689615,0.39385994750161524,0.399193146506233,0.401062671387717,0.3888539070753274,0.38869187862330334,0.39046430455765824,0.3906393946189365,0.3902470382584424,0.4120221456938419,0.3977339152530206
Fast food,0.4079815015870583,0.4285596173865178,0.7371142745363178,0.5915745146651566,0.612110464241668,0.6719272421862905,0.45433638720040903,0.9536644128096045,0.5004922986932457,0.5280936528925003,0.41000670693495284,0.8720625145209533,0.5587363372867846,0.6199778917179283,0.5278128898066518,0.642353348434782,0.40456627415679197,0.9986051123227143,0.39707290878982393,0.49876545662519683,0.70808803087006,0.39045239829755113,0.3975374133144697,0.4022439681590928,0.39223186918895053,0.5682984948723381,0.6242867102646831,0.4650155002069083,0.5296178647023847,0.5626152393775611,0.46464385361588495,0.401545862853969,0.4289886314760659,0.4157236120940527,0.5961295489018196,0.5346819429682343,0.5215730058810195,0.5143772681691,0.4403323600624026,0.5140032662627811,0.46770974934652454,0.7194716954419825,0.5673005325605635,0.5183142442122759,0.8070251508021741,0.5697194703190974,0.49607423278264834,0.4211420491038391,0.508724168610323,0.4592968110574256,0.47041239643076505,0.4615147176073557,0.5153941863599897,0.5223140040142008
Filipino,0.38760776026825056,0.38736717718170427,0.395696017044533,0.3963006161588183,0.40165461615275555,0.39163042378761537,0.39713894543632733,0.39207372687763026,0.390063043525177,0.3895996826212353,0.387737567331739,0.40651145582057563,0.39523100442920234,0.41009086797221794,0.38948242159709956,0.3932482768637783,0.3874033851468434,0.39707290878982393,0.9986051123227143,0.39013253489085886,0.39735909988128465,0.3872816552606387,0.3874676950504813,0.38726974634017897,0.3872678838920668,0.39290393544845786,0.3912174912772003,0.39091086379821877,0.3924348007830711,0.39673030847360513,0.403129688754188,0.38726769064550726,0.38893320583808255,0.38741898492819427,0.3885144630041757,0.38941913397189637,0.3889843260975368,0.39403597551103997,0.3959723124420573,0.39036969709163155,0.3885332704642046,0.4122797765210058,0.39942328643820385,0.4664649100519301,0.39037622969980135,0.3965069699047816,0.4119528098152032,0.3875734899598975,0.3952515900849776,0.3883152258321054,0.38932557203499785,0.3914006827678213,0.38805434974529796,0.39495058949199635
French,0.39003765398152285,0.40275300606279557,0.5719713805722948,0.455359109677752,0.4704151532503774,0.6245053975695563,0.4227421819119435,0.5344762596547817,0.4775841078977055,0.43882025010940473,0.39134513295400297,0.5499358174684331,0.44759002512926227,0.5425219730546601,0.4236005009432801,0.5374742448391409,0.38812484095590316,0.49876545662519683,0.39013253489085886,0.9986051123227143,0.7037242506935697,0.3885706408304837,0.3896688838262617,0.4037627289410008,0.39075192606175074,0.48326094225505406,0.4639628602425483,0.44077186298306825,0.44614589919355624,0.44333229558982123,0.4348788895538314,0.3898440690592435,0.4075184461222839,0.40439632747648924,0.4312142186429152,0.42906858465291525,0.4422697612014157,0.44177756397669443,0.4021813058559425,0.4335386651360596,0.40079364248754235,0.47375050060795604,0.4513983100292924,0.4444669261848859,0.5031341026075942,0.45691302731733086,0.4474213907180931,0.39776058089013333,0.43425464032736905,0.40896272096979536,0.4128039739264829,0.4181233592204197,0.428438709732649,0.4464901689501769
